;Code;Parent code level 1;Parent code;Level nr;Prometis_label_D_retail;Prometis_label_D_corp;Label NL;ffill_retail;ffill_corp
1012;10320.0;C;1032;;GROCERIES;EXPENSES - GOODS;Vervaardiging van groente- en fruitsappen;103;103
390;1039.0;C;103;;GROCERIES;EXPENSES - GOODS;Overige verwerking en conservering van groenten en fruit;103;103
1013;10391.0;C;1039;;GROCERIES;EXPENSES - GOODS;Verwerking en conservering van groenten, exclusief productie van diepgevroren groenten;103;103
1014;10392.0;C;1039;;GROCERIES;EXPENSES - GOODS;Verwerking en conservering van fruit, exclusief productie van diepgevroren fruit;103;103
1015;10393.0;C;1039;;GROCERIES;EXPENSES - GOODS;Productie van diepgevroren groenten en fruit;103;103
92;104.0;C;10;3.0;GROCERIES;EXPENSES - GOODS;Vervaardiging van plantaardige en dierlijke oliën en vetten;104;104
391;1041.0;C;104;;GROCERIES;EXPENSES - GOODS;Vervaardiging van oliën en vetten;104;104
1016;10410.0;C;1041;;GROCERIES;EXPENSES - GOODS;Vervaardiging van oliën en vetten;104;104
392;1042.0;C;104;;GROCERIES;EXPENSES - GOODS;Vervaardiging van margarine en andere spijsvetten;104;104
1017;10420.0;C;1042;;GROCERIES;EXPENSES - GOODS;Vervaardiging van margarine en andere spijsvetten;104;104
93;105.0;C;10;3.0;GROCERIES;EXPENSES - GOODS;Vervaardiging van zuivelproducten;105;105
393;1051.0;C;105;;GROCERIES;EXPENSES - GOODS;Zuivelfabrieken en kaasmakerijen;105;105
1018;10510.0;C;1051;;GROCERIES;EXPENSES - GOODS;Zuivelfabrieken en kaasmakerijen;105;105
394;1052.0;C;105;;GROCERIES;EXPENSES - GOODS;Vervaardiging van consumptie-ijs;105;105
1019;10520.0;C;1052;;GROCERIES;EXPENSES - GOODS;Vervaardiging van consumptie-ijs;105;105
94;106.0;C;10;3.0;GROCERIES;EXPENSES - GOODS;Vervaardiging van maalderijproducten, zetmeel en zetmeelproducten;106;106
395;1061.0;C;106;;GROCERIES;EXPENSES - GOODS;Vervaardiging van maalderijproducten;106;106
1020;10610.0;C;1061;;GROCERIES;EXPENSES - GOODS;Vervaardiging van maalderijproducten;106;106
396;1062.0;C;106;;GROCERIES;EXPENSES - GOODS;Vervaardiging van zetmeel en zetmeelproducten;106;106
1021;10620.0;C;1062;;GROCERIES;EXPENSES - GOODS;Vervaardiging van zetmeel en zetmeelproducten;106;106
95;107.0;C;10;3.0;GROCERIES;EXPENSES - GOODS;Vervaardiging van bakkerijproducten en deegwaren;107;107
397;1071.0;C;107;;GROCERIES;EXPENSES - GOODS;Vervaardiging van brood en van vers banketbakkerswerk;107;107
