mcc;public_mcc_description;Prometis_label
3064;Airlines;PASSENGER TRANSPORT SERVICES - AIR
3065;AIRINTER;PASSENGER TRANSPORT SERVICES - AIR
3066;SOUTHWEST;PASSENGER TRANSPORT SERVICES - AIR
3067;Airlines;PASSENGER TRANSPORT SERVICES - AIR
3068;Airlines;PASSENGER TRANSPORT SERVICES - AIR
3069;SUN COUNTRY AIRLINES;PASSENGER TRANSPORT SERVICES - AIR
3070;Airlines;PASSENGER TRANSPORT SERVICES - AIR
3071;AIR BRITISH COLUBIA;PASSENGER TRANSPORT SERVICES - AIR
3072;Airlines;PASSENGER TRANSPORT SERVICES - AIR
3073;Airlines;PASSENGER TRANSPORT SERVICES - AIR
3074;Airlines;PASSENGER TRANSPORT SERVICES - AIR
3075;SINGAPORE AIRLINES;PASSENGER TRANSPORT SERVICES - AIR
3076;AEROMEXICO;PASSENGER TRANSPORT SERVICES - AIR
3077;THAI AIRWAYS;PASSENGER TRANSPORT SERVICES - AIR
3078;CHINA AIRLINES;PASSENGER TRANSPORT SERVICES - AIR
3079;Airlines;PASSENGER TRANSPORT SERVICES - AIR
3080;Airlines;PASSENGER TRANSPORT SERVICES - AIR
3081;NORDAIR;PASSENGER TRANSPORT SERVICES - AIR
3082;KOREAN AIRLINES;PASSENGER TRANSPORT SERVICES - AIR
3083;AIR AFRIGUE;PASSENGER TRANSPORT SERVICES - AIR
3084;EVA AIRLINES;PASSENGER TRANSPORT SERVICES - AIR
3085;MIDWEST EXPRESS AIRLINES, INC.;PASSENGER TRANSPORT SERVICES - AIR
3086;Airlines;PASSENGER TRANSPORT SERVICES - AIR
3087;METRO AIRLINES;PASSENGER TRANSPORT SERVICES - AIR
3088;CROATIA AIRLINES;PASSENGER TRANSPORT SERVICES - AIR
3089;TRANSAERO;PASSENGER TRANSPORT SERVICES - AIR
3090;Airlines;PASSENGER TRANSPORT SERVICES - AIR
3091;Airlines;PASSENGER TRANSPORT SERVICES - AIR
3092;Airlines;PASSENGER TRANSPORT SERVICES - AIR
3093;Airlines;PASSENGER TRANSPORT SERVICES - AIR
3094;ZAMBIA AIRWAYS;PASSENGER TRANSPORT SERVICES - AIR
3095;Airlines;PASSENGER TRANSPORT SERVICES - AIR
3096;AIR ZIMBABWE;PASSENGER TRANSPORT SERVICES - AIR
3097;Airlines;PASSENGER TRANSPORT SERVICES - AIR
3098;Airlines;PASSENGER TRANSPORT SERVICES - AIR
3099;CATHAY PACIFIC;PASSENGER TRANSPORT SERVICES - AIR
3100;MALAYSIAN AIRLINE SYSTEM;PASSENGER TRANSPORT SERVICES - AIR
3101;Airlines;PASSENGER TRANSPORT SERVICES - AIR
3102;IBERIA;PASSENGER TRANSPORT SERVICES - AIR
3103;GARUDA (INDONESIA);PASSENGER TRANSPORT SERVICES - AIR
3104;Airlines;PASSENGER TRANSPORT SERVICES - AIR
3105;Airlines;PASSENGER TRANSPORT SERVICES - AIR
3106;BRAATHENS S.A.F.E. (NORWAY);PASSENGER TRANSPORT SERVICES - AIR
3107;Airlines;PASSENGER TRANSPORT SERVICES - AIR
3108;Airlines;PASSENGER TRANSPORT SERVICES - AIR
3109;Airlines;PASSENGER TRANSPORT SERVICES - AIR
3110;WINGS AIRWAYS;PASSENGER TRANSPORT SERVICES - AIR
3111;BRITISH MIDLAND;PASSENGER TRANSPORT SERVICES - AIR
3112;WINDWARD ISLAND;PASSENGER TRANSPORT SERVICES - AIR
3113;Airlines;PASSENGER TRANSPORT SERVICES - AIR
3114;Airlines;PASSENGER TRANSPORT SERVICES - AIR
3115;Airlines;PASSENGER TRANSPORT SERVICES - AIR
3116;Airlines;PASSENGER TRANSPORT SERVICES - AIR
3117;VIASA;PASSENGER TRANSPORT SERVICES - AIR
