MCC,MCC_TITLE,MCC_DESCRIPTION,INCLUDED_IN_MCC,SIMILAR_MERCHANTS
5137,"Men’s, Women’s, and Children’s Uniforms and Commercial Clothing","Merchants classified with this MCC are business-to- business or wholesale distributors of commercial work clothing and uniforms. This MCC includes wholesale distributors of graduation caps and gowns, athletic and recreational uniforms, and school uniforms, but not shoes.","Children’s Uniforms Commercial Clothing – Men’s, Women’s, Children’s Men’s Uniforms Professional Uniforms Uniforms – Men’s, Women’s, Children’s Women’s Uniforms","5139 – Commercial Footwear ......... 5611 – Men’s and Boys’ Clothing and Accessories Stores 5621 – Women’s Ready-To-Wear Stores 5631 – Women’s Accessory and Specialty Shops 5641 – Children’s and Infants’ Wear Stores 5651 – Family Clothing Stores 5655 – Sports and Riding Apparel Stores 5661 – Shoe Stores 5681 – Furriers and Fur Shops 5691 – Men’s and Women’s Clothing Stores 5697 – Tailors, Seamstresses, Mending, and Alterations 5699 – Miscellaneous Apparel and Accessory Shops"
5139,Commercial Footwear,Merchants classified with this MCC are business-to- business or wholesale distributors of commercial shoes and boots including athletic footwear.,"Footwear – Commercial Shoes, Shoe Accessories – Commercial",5661 – Shoe Stores
5169,Chemicals and Allied Products (Not Elsewhere Classified),"Merchants classified with this MCC are business-to- business or wholesale distributors of chemicals and allied products that are not classified with a more specific MCC. Products for sale are typically used for industrial purposes. Examples include industrial acids, ammonia and alcohol, heavy, aromatic and other chemicals, chlorine, compressed and liquefied gases, detergents, fuel and oil additives, resins, salts, turpentine, sealants, rust proofing chemicals, coal tar products, dry ice, dyestuffs, glue, gelatin, and explosives","Detergents Supplies – Chemicals, Allied Products","2842 – Specialty Cleaning, Polishing and Sanitation Preparations 5999 – Miscellaneous and Specialty Retail Stores"
5172,Petroleum and Petroleum Products,"Merchants classified with this MCC are business-to- business or wholesale distributors of petroleum and petroleum products, butane gas, crude oil, fuel oil, gasoline, kerosene, lubricating oils and greases, aircraft fueling services, and naphtha.","Fuel Products, Services Services – Fueling","5169 – Chemicals and Allied Products (Not Elsewhere Classified) 5983 – Fuel Dealers – Fuel Oil, Wood, Coal, and Liquefied Petroleum"
5192,"Books, Periodicals and Newspapers","Merchants classified with this MCC are business-to- business or wholesale distributors of books, periodicals, magazines, journals, and newspapers, including newspaper agencies.","Journals Magazines Newspapers, Newspaper Agencies Periodicals",2741 – Miscellaneous Publishing and Printing 5942 – Book Stores 5968 – Direct Marketing – Continuity/ Subscription Merchant 5994 – News Dealers and Newsstands
5193,"Florists Supplies, Nursery Stock and Flowers","Merchants classified with this MCC are business-to- business or wholesale distributors of flowers, nursery stock and florists’ supplies, fresh and artificial flowers, and potted plants.","Gardening Supplies Nursery Stock Plants Supplies – Florist Supplies, Nursery Stock, Flowers",5261 – Nurseries and Lawn and Garden Supply Stores 5992 – Florists
5198,"Paints, Varnishes and Supplies","Merchants classified with this MCC are business-to- business or wholesale distributors of paints, varnishes, wallpaper, and supplies, including colors and pigments, enamels, lacquers, paint brushes, paint pans, sandpaper, drop cloths, shellac, rollers, and sprayers.","Supplies – Paints, Varnishes, Supplies Varnishes, Paints, Supplies","5231 – Glass, Paint, and Wallpaper Stores"
5199,Nondurable Goods (Not Elsewhere Classified),"Merchants classified with this MCC are business-to- business or wholesale distributors of nondurable goods that are not classified with a more specific MCC, such as food products, art goods, clothes hangers, foam rubber, ice, crude rubber, sponges, textile bags, burlap, canvas products, leather, and baskets.",Goods – Nondurable,"5131 – Piece Goods, Notions, and Other Dry Goods 5948 – Luggage and Leather Goods Stores"
5200,Home Supply Warehouse Stores,"Merchants classified with this MCC sell of a wide range of home products such as wallpaper, paint, lumber, garden supplies, electrical equipment and supplies and home decorating items, as well as sinks, cabinets and doors.",Warehouse Stores – Home Supply,"5211 – Lumber and Building Materials Stores 5231 – Glass, Paint, and Wallpaper Stores 5251 – Hardware Stores 5713 – Floor Covering Stores"
5211,Lumber and Building Materials Stores,"Merchants classified with this MCC sell of one or more of the following products: lumber, unfinished wood products, lighting materials, concrete, sand, gravel, general building or electrical supplies, bricks, fencing, pipe, fiberglass, or molding. This MCC includes building centers that offer their products to contractors rather than to the general public and does not include home supply store chains that are frequented by the general public.","Building Materials Construction Materials Materials – Lumber,
Building Roofing Materials Supplies – Lumber, Building Materials","5200 – Home Supply Warehouse Stores 5231 – Glass, Paint, and Wallpaper
Stores 5251 – Hardware Stores 5713 – Floor Covering Stores 5718 – Fireplace, Fireplace Screens and Accessories Stores"
